city,state,population,web_cost ($),web_provider,median_home_price ($),median_home_size (rooms),coffee_shops_100k,parks_100k,non_chain_restaurants (%),arts_edu_workers (%),health_workers (%),wfh (%),description
Chattanooga, TN,,60.0, AT&T Fiber ,186500.0,5.2,27.0,14.0,74.0,8.4,4.5,4.7,"The American South boasts many grand old cities with rich histories, but Chattanooga is number one on our list. It’s also known as Gig City: Chattanooga was the first US city to roll out a citywide gigabit network, and it’s become a major tech hub since then. But it’s also on top thanks to its low cost of living and array of family-friendly attractions. The city is home to the Tennessee Aquarium, the Bluff View Art District, and the Chattanooga Choo Choo, a popular community known for its restaurants and live music."
Bear Valley Springs, CA,5389.0,60.0, Race Communications ,357800.0,,18.0,15.0,74.0,10.1,7.7,12.8,"If you’re looking to make a mountain retreat your new home, consider Bear Valley Springs, a private, gated community nestled in the Tehachapi Mountains. According to Wikipedia, this town offers pleasantly cooler weather than surrounding places during the summer; you’ll definitely see snow in the winter. You can also take a look at nearby Stallion Springs and Golden Hills for remote-working arrangements. The population is just under 5,400, and many residents are retirees."
Pawlet, VT,1344.0,70.0, Vermont Telephone Company ,221500.0,,32.0,22.0,90.0,16.4,2.5,11.1,"The gorgeous Taconic Mountains in Vermont are hiding a gem of a country town called Pawlet, which offers incredible mountain views and quiet country living. Its population is just 1,344 people, so you’re certain to get to know your neighbors fast. The town is home to 22 parks and 32 coffee shops, and most of the restaurants are independently owned. Also consider nearby Springfield and Mount Holly, highly rated southern Vermont towns serviced by Vermont Telephone Company (VTel) for broadband connectivity."
Kaysville, UT,30328.0,55.0, Veracity Networks ,441600.0,8.2,17.0,18.0,69.0,10.3,3.8,7.5,"Known as “Utah’s Hometown,” Kaysville is home to over 30,000 people. You get fantastic mountain views and proximity to Salt Lake City in case you need to experience some city life. The nearby towns of Centerville and Morgan are also great places to live. Kaysville is part of the Ogden-Clearfield metro area, and the massive Hill Air Force Base is a major employer in the area. Median home sizes are a generous 8.2 rooms, and the prices reflect this; the average home cost is $441,600."
Jonesborough, TN,5275.0,60.0, AT&T Fiber ,198400.0,5.5,21.0,13.0,71.0,14.4,3.7,8.7,"A picturesque mountain town filled with local shops, eateries, and other small businesses, Jonesborough calls itself the “storytelling capital of America.” It’s home to both the National Storytelling Festival and the International Storytelling Center, letting it punch far above its weight in terms of culture and quirk. “Tennessee’s oldest town,” founded before it achieved statehood, has a beautifully preserved downtown, with antique shops, independent coffee shops, a farmer’s market, and a distillery. It’s rich with handsome homes and Appalachian culture."
Petoskey, MI,5696.0,100.0, Truestream ,250600.0,5.5,82.0,55.0,90.0,11.2,6.5,7.3,"People are plenty passionate about pleasant Petoskey, a coastal resort in northern Michigan with a preserved Victorian downtown, beaches, and boating. The city’s name comes from the Odawa language and means “where the light shines through the clouds.” That’s a fine description of Petoskey, which is home to some of Michigan’s best ski slopes in the winter and summer fun on the beaches along Little Traverse Bay. And it’s close to Traverse City, called one of the “best small towns in America” by Architectural Digest. Petoskey is expensive for northern Michigan—so expensive that the local low-wage workers can’t afford to live there—but it’s still more affordable than many of the coastal cities from which tech workers may be coming."
Turtle Creek, PA,5281.0,80.0, Verizon Fios ,58300.0,,38.0,14.0,84.0,6.5,1.8,6.7,"Pittsburgh has evolved into a tech-savvy, artsy city, and the eastern suburbs are some of the least expensive places to live in the area, including Turtle Creek but also Monroeville and North Versailles. If you choose to work remotely out of Turtle Creek, you’ll be just 12 miles away from downtown Pittsburgh for a fraction of the cost of living inside the city proper. Even closer is the college-town ambiance around Carnegie-Mellon University and University of Pittsburgh, among other top schools. There are plenty of coffee shops and independent restaurants to choose from right in Turtle Creek as well."
Bemidji, MN,14803.0,65.0, CenturyLink ,136200.0,4.9,,,,1.5,4.8,7.5,"Tall trees and tall tales abound in Bemidji. Located in northwest Minnesota, it’s known as the first city along the Mississippi River and is home to the tall tales of Paul Bunyan and his friend Babe the Blue Ox. The town has an 18-foot tall statue of the lumberjack standing beside the shores of beautiful Lake Bemidji. The city’s downtown area features an array of small businesses; it’s home to live theater, art galleries, a local brewery, and outdoor adventures at Itasca State Park, just 25 miles away."
Springfield, VT,9086.0,70.0, Vermont Telephone Company ,133700.0,5.8,45.0,36.0,94.0,5.1,2.1,4.2,"Located in southeastern Vermont, Springfield is on the border of New Hampshire. The lovely Black River flows right through the downtown area, and from Hartness State Park to Hoyt’s Landing, there are plenty of beautiful outdoor areas to explore in Springfield. It also has a thriving tech community and a co-working space called the Black River Innovation Campus. In 2007, the town was chosen to host the premiere of The Simpsons Movie, which is set in a fictional town named Springfield. The median home price is $133,700, and the median home size is 5.8 rooms. You can get gigabit internet in this small town for $70 a month via the Vermont Telephone Company."
Eastpointe, MI,32601.0,60.0, AT&T Fiber ,104700.0,5.5,19.0,12.0,75.0,3.8,2.1,3.6,"Proudly calling itself the “Gateway to Macomb County,” Eastpointe is a suburb in the Metro Detroit area. It’s close to Warren, Rosewood, and Sterling Heights, which are also great living options. And it’s near outdoor attractions including Lake St. Clair and Metropolitan Beach. Residents can take advantage of 12 parks and 19 coffee shops. Perhaps most enticing are the low living costs, with a median home price of just $104,700; AT&T Fiber provides gigabit broadband internet for just $60 a month."
Philadelphia, PA,1569657.0,60.0, RCN ,191100.0,5.6,42.0,11.0,90.0,8.2,4.9,3.8,"If you’re not ready to give up city living but want an alternative to New York City or Washington D.C., Philadelphia might fill the bill. You can enjoy the historical fascination of living near the birthplace of the US, the many excellent museums, and the city’s thriving art scene. Philly also has a rich culinary history that goes beyond cheesesteaks at Pat’s or Geno’s, and the impressive number of non-chain restaurants in the city reflects this history. Philadelphia is home to a very diverse population, though it’s also notorious for segregation. The median home price is $191,100, but you’ll likely pay more to live in attractive neighborhoods like Old City, Society Hill, Queen Village, Rittenhouse Square, Manayunk, and Chestnut Hill."
Lenexa, KS,52030.0,60.0, AT&T Fiber ,323000.0,6.5,24.0,23.0,70.0,8.1,,6.4,"Folks seem to be happy to live in Lenexa: The community’s government was ranked in the top 10% of the nation based on local satisfaction, according to the ETC Institute, a market research organization. Lenexa is a suburb of Kansas City, Missouri, which is known for great connectivity thanks to Google Fiber, and it boasts a vibrant tech community. Even better, the city hosts The Great Lenexa Barbecue Battle annually. Other nearby possibilities include Raytown, Gladstone, and Kansas City, Kansas."
Miami Lakes, FL,31032.0,60.0, AT&T Fiber ,419200.0,5.5,35.0,15.0,86.0,7.3,6.6,6.2,"A suburb in the Miami metro area, Miami Lakes is known for its large estate lots and low crime rate. The town features tree-lined streets along with manmade lakes and canals. While it’s just 34 minutes away from Miami Beach, with its world-class beaches and nightlife, Miami Lakes still maintains a “small town” feel. The median home price is $419,200, and you can choose from 35 coffee shops when you need a break from your home office."
Fort Collins, CO,159150.0,65.0, CenturyLink ,428400.0,5.6,51.0,18.0,79.0,11.9,4.0,6.9,"Just a short drive from Denver, Fort Collins is home to Colorado State University and many tech companies. It’s filled with pubs and boutiques and is close to incredible mountains, lakes, and rivers. If you’re the outdoorsy type, you’ll love Fort Collins, which consistently ranks among the healthiest cities in the United States. Home prices are also cheaper than in nearby Denver or Boulder, with a median home price of $428,400."
Saint Paul, TX,1038.0,60.0, Grande Communications ,336800.0,7.1,23.0,12.0,76.0,9.0,6.6,10.2,"If the thought of a quiet rural setting in Texas appeals to you, check out the area northeast of Dallas. On the edge of lovely Lavon Lake is Saint Paul, a town with plenty of parks and highly rated schools. If you’re working remotely, you won’t be alone, as over 10% of the people who live in Saint Paul work from home. When you need a city fix, Dallas is just a 35-minute drive away."
Niles, MI,11332.0,60.0, AT&T Fiber ,136400.0,5.3,30.0,34.0,79.0,3.7,2.2,2.7,"On the banks of the St. Joseph River is Niles, also known as the City of Four Flags, as the old fort there was at one time occupied by France, Britain, Spain, and the United States. If you’re looking for riverside living with a lot of history, Niles may be the town for you. The city is just nine miles from South Bend, Indiana, and 90 miles from Chicago. Niles has a large number of parks, which are home to festivals in the spring, summer, and fall. Beachcombers will also appreciate nearby Lake Michigan’s beaches and state parks."
Taos, NM,5687.0,80.0, Xfinity from Comcast ,313700.0,4.6,88.0,18.0,93.0,8.4,1.7,9.4,"Looking for a diverse town with fine art traditions, great culinary options, and a lively music scene? Taos is a great option. Home to an art colony, Taos also boasts a ski resort and a World Heritage Site, the Taos Pueblo, set against the backdrop of the majestic Rocky Mountains and Rio Grande Gorge. The art community has been thriving for decades; D.H. Lawrence and Georgia O’Keeffe lived and worked there. The city is also just a little over an hour away from Santa Fe, New Mexico."
Reedsburg, WI,9480.0,50.0, Reedsburg Utility Commission ,179800.0,5.7,35.0,47.0,84.0,8.2,3.0,1.6,"About an hour north of busy Madison, Wisconsin is the rural city of Reedsburg. Teeming with small-town charm, the community boasts a top-notch school system and an abundance of natural resources along the Baraboo River. A very walkable historic downtown district flanks the river, as well as a thriving tech community. Some good news for remote workers: the city offers the fastest available Internet access in Wisconsin at gigabit speeds for just $50 a month via Reedsburg Utility Commission. The median home price is low at just $179,800, and there are a ton of parks to visit within the city limits."
Princeton, MO,950.0,105.0, GRM Networks ,51200.0,5.4,27.0,27.0,86.0,9.7,0.2,6.4,"With the right internet connection, it’s possible to work from extremely smalltown America. Princeton is a perfect example: a historic little town in Missouri farm country, the birthplace of Calamity Jane, and the Mercer County seat. Princeton is pretty far from anywhere, and not much goes on here; that makes it a perfect place for quiet living in a home without a mortgage on it: Princeton ranks high on our list because of its very low housing and land costs."
Daytona Beach, FL,65339.0,60.0, AT&T Fiber ,165100.0,4.6,23.0,23.0,78.0,6.5,3.3,4.6,"The Daytona Beach area is a popular spring break hotspot, but there’s also a great spot for remote workers nearby: The metro area includes Deltona, a bedroom community for Daytona and Orlando. Affordable housing in the form of planned communities for permanent residents is key in Daytona Beach, as the median home price is just $165,100. Along with Orlando, Daytona Beach offer numerous tourist attractions, and neighboring Deltona has plenty of lakes and woods to explore, as well as an abundance of parks and coffee shops and three private schools."
The Woodlands, TX,109608.0,60.0, AT&T Fiber ,363800.0,7.3,19.0,10.0,73.0,9.5,5.5,9.7,"The suburbs surrounding Houston comprise the fourth-largest metro area in the United States, and that’s where you’ll find The Woodlands. There are plenty of cultural options, from performing arts to museums, and The Woodlands is known for its many parks, golf courses, and corporate headquarters. Just under 10% of the labor force works from home. The Woodlands also has a fine public school system. And if you want to take a trip into the big city, it’s just 28 minutes from Houston."
Price, UT,8337.0,55.0, Veracity Networks ,195200.0,5.5,29.0,15.0,71.0,8.4,1.9,2.8,"A college town that’s home to Utah State University Eastern, Price is also close to dramatic natural beauty, including Nine Mile Canyon, Manti-La Sal National Forest, and the Cleveland-Lloyd Dinosaur Quarry. According to Wikipedia, Price is known for being a small but ethnically diverse community: Greek, Italian, eastern European, Mexican, Japanese, and other ethnic groups make up the population, which is unusual for small towns in Utah."
Rangely, CO,2169.0,70.0, Visionary ,204900.0,5.3,46.0,15.0,89.0,13.2,2.0,4.1,"Looking to live in a place where ancient people and beasts roamed? Try Rangely. The rural town is located in the Great West region of Northwest Colorado and is close to Dinosaur National Monument. There are various nearby archeological sites, cave painting sites, museums, and camping and fishing spots for your family to explore. You can check out the Dinosaur Diamond Byway for a scenic driving experience. The median home price is a very affordable $204,900, and remote workers can find gigabit broadband internet for $70 a month."
Diamondhead, MS,8200.0,80.0, C Spire Fiber ,164100.0,5.9,28.0,2.0,79.0,15.2,5.8,4.3,"Located in the Gulfport-Biloxi-Pascagoula metro area, Diamondhead is a Gulf Coast city about 50 miles northeast of New Orleans and an affordable coastal alternative to Florida. The median home price of $164,100 is a bargain for water-adjacent property. Diamondhead also offers golf courses, marinas, tennis courts, and public parks to enjoy nearby. The winters are very mild, and you can check out local beaches almost year-round."
Madison, MS,25350.0,60.0, AT&T Fiber ,282400.0,7.2,29.0,10.0,74.0,11.1,11.5,3.4,"A suburb of Jackson, Mississippi’s largest city, Madison is also close to the Ross R. Barnett Reservoir, a popular summer attraction. The city features beautiful old neighborhoods as well as some newer architectural developments near the city of Canton. The University of Mississippi Medical Center is a major source of jobs and a strong healthcare network."
Charleston, WV,49384.0,80.0, Xfinity from Comcast ,120300.0,5.7,22.0,10.0,72.0,9.0,6.9,3.4,"A rare state capital on our list, Charleston is also the commercial center of West Virginia. It offers a performing arts center in the downtown district as well as the Haddad Riverfront Park on the banks of the Kanawha River. The Kanawha State Forest is just seven miles south of Charleston and has a campground, a playground, and a 9,300-acre forest to explore. The median home price is a budget-friendly $120,300."
Fairburn, GA,14257.0,60.0, AT&T Fiber ,204500.0,5.6,50.0,21.0,83.0,9.1,1.9,7.0,"Part of the Atlanta metro suburban area, Fairburn is 25 minutes south of the big city and Hartsfield-Jackson Atlanta International Airport, one of the world’s busiest travel hubs. Fairburn Main Street was created as part of the state’s efforts to encourage investment in the historic downtown district and features shops, restaurants, and other small businesses. Fairburn is also home to the Georgia Renaissance Festival and educational institutions including Brenau University and the Georgia Military Academy. And one of the best things about the Atlanta metro area is the low cost of high-quality real estate."
Thomasboro, IL,1082.0,60.0, Volo Broadband ,86500.0,5.6,32.0,31.0,74.0,4.5,0.7,2.3,"Thomasboro is part of the Champaign-Urbana metro area, and nearby University of Illinois means bars, restaurants, and sporting events abound. Thomasboro also has a fair number of tech companies and research organizations. It’s just about two hours south of Chicago and 16 minutes from Champaign. The area is mostly prairie farmland, but attractions include Sleepy Creek Vineyards and the Staerkel Planetarium. The real treasure of Thomasboro is its real estate prices; the median home price is just $86,500."
Cumberland, MD,20084.0,80.0, Xfinity from Comcast ,91000.0,5.6,17.0,12.0,77.0,5.2,4.8,2.3,"Just a two-hour drive from Pittsburgh, this town on the Potomac River features a thriving arts and entertainment district, the Western Maryland Railway Station, and The Great Allegheny Passage, a popular hiking and biking trail that starts in Pittsburgh and ends in Cumberland. The city is surrounded by beautiful natural landscapes, and it also offers plenty of environmental points of interest within driving distance, including Dan’s Mountain State Park and Rocky Gap State Park. Both housing and broadband costs are very low."
Weirton, WV,19081.0,80.0, Xfinity from Comcast ,91500.0,5.7,100.0,7.0,85.0,4.5,5.5,3.1,"Thirty miles west of Pittsburgh is the city of Weirton, West Virginia, a small steel town that borders the city of Steubenville, Ohio, across the Ohio River. According to BestPlaces, a Walmart distribution facility came to the region and boosted the local economy—but the cost of living in Weirton is 25.1% lower than the US average, and the median home price is just $91,500. There are plenty of coffee shops to work in or just enjoy in this community."
Pittsburg, KS,20278.0,70.0, Craw-Kan Telephone Cooperative ,85400.0,5.1,28.0,23.0,74.0,11.8,3.3,2.5,"Named after the bigger city in Pennsylvania (which seems to be a remote-work nerve center), Pittsburg is nestled in the Ozark Highlands region of Kansas. A little over 2 hours from Kansas City, Missouri, it’s home to Pittsburg State University. The local government offers attractive incentives for new and existing businesses, among them low-cost or free land and bureaucratic fast-tracking, making it a hot spot for entrepreneurs. Pittsburg is also home to numerous festivals, including the Little Balkans Days Celebration; many are hosted at one of the city’s 23 parks. The cost of living is 31.2% lower than the U.S. national average."
Natchez, MS,15191.0,60.0, AT&T Fiber ,92300.0,5.3,16.0,19.0,79.0,9.0,4.9,1.5,"Natchez’s city slogan is “Y’all means all”—meaning it embraces diversity in perspectives, lifestyles, and cultures. It’s also the first settlement on the Mississippi River, just beating out New Orleans. Places to see in Natchez include a variety of antebellum mansions and Native American heritage sites. The city was once infamous for the gambling at Natchez Under-the-Hill, and today, you can still play the slots at the Magnolia Bluffs Casino. And Natchez encourages entrepreneurship by offering numerous marketing incentives for businesses. Located about 90 minutes away from Baton Rouge, Louisiana, Natchez is an affordable place to live on the Mississippi River, with its median home price of $92,300."
Oswego, IL,33759.0,60.0, AT&T Fiber ,263900.0,7.6,15.0,20.0,68.0,11.1,5.9,4.8,"Oswego is a suburban village in Illinois, about an hour southwest of Chicago, where you’ll find lots of parks to explore and a thriving downtown district with small businesses and restaurants. Outdoorsy types can ride bikes along the Fox River Trail, which offers over 40 miles of riverfront views. Though the cost of living is a little above the US average, housing costs remain low."
Macon, GA,153621.0,60.0, AT&T Fiber ,94000.0,5.4,22.0,8.0,66.0,8.2,4.9,2.8,"Macon is first and foremost a college town, home to Wesleyan College, Mercer University, Middle Georgia State University, and Central Georgia Technical College. The Georgia Music Hall of Fame is located within the city, reflecting its rich cultural and art heritage. Music greats such as Otis Redding and Little Richard once called Macon home, and the city has beautiful architecture along its tree-lined streets. Macon’s home prices are far lower than Atlanta to the north, with the median home price at $94,000."
Stock Island, FL,4201.0,60.0, AT&T Fiber ,423200.0,3.8,103.0,43.0,92.0,4.3,1.2,,"If you want the Key West lifestyle on a budget, look no further than Stock Island, Florida. With the Cow Key Channel separating it from Key West, Stock Island is a tranquil and diverse city that’s home to many workers who immigrated from Haiti and Cuba. Unlike Key West, most of the people living in Stock Island are year-round residents, and many of them are part of the active artist community that operates local shops and studios."
Millsboro, DE,4181.0,80.0, Xfinity from Comcast ,262200.0,5.4,26.0,14.0,87.0,10.2,2.9,6.9,"A small town in fast-growing Sussex County, Millsboro welcomes families and professionals with no sales tax, low property taxes, and a solid school district. The town of just over 4,000 people is within driving distance of Washington D.C., Philadelphia, Baltimore, and Norfolk, Virginia, while the coastal beach communities of Lewes, Rehoboth Beach, Dewey Beach, Bethany Beach, and Ocean City are less than 20 miles away."
Phoenix, AZ,1574421.0,65.0, CenturyLink ,283200.0,5.1,27.0,13.0,73.0,6.3,3.5,5.7,"Phoenix is a growing city with reasonable but rapidly rising home prices. You may want to check out Phoenix’s large, middle-class suburbs of Peoria, Mesa, Chandler, and Glendale for housing deals, and the college town of Tempe is a good option as well. Phoenix winters are warm and pleasant, and there’s plenty to do in a city with over 1.5 million people. The economy has been driven by tech companies, particularly in the software and defense sectors, that have relocated from California."
Hickman, NE,2079.0,75.0, Windstream ,269900.0,6.7,30.0,22.0,76.0,11.5,7.1,6.9,"Hickman is a small, rural midwestern town 16 miles from the Lincoln Metro Area in Nebraska and the University of Nebraska, which offers college-town bars and football in the fall. Almost 12% of the population is employed in the arts and education fields, and nearly 7% work from home."
Morrisville, NC,23873.0,60.0, AT&T Fiber ,327900.0,5.3,29.0,15.0,76.0,6.2,4.1,9.0,"A tech haven, Morrisville is part of the Research Triangle metro region, which includes Duke University in Durham, The University of North Carolina in Chapel Hill, and North Carolina State University in Raleigh. It has a strong economic base that’s bolstered by companies such as Lenovo, Oracle, and Syneos Health. Morrisville’s public school system is solid, and the city is known for family friendliness, diversity, and well-educated residents. It’s far enough inland that coastal storms aren’t much of a problem, and the weather is pretty pleasant year-round."
Montour Falls, NY,2821.0,65.0, Empire Access ,137300.0,5.1,50.0,22.0,90.0,5.8,4.4,2.9,"Montour Falls is one of several attractive towns in the Finger Lakes region served by Empire Access, which we named one of the best gaming ISPs in the US. The tiny village, just 3 square miles, is surrounded by hills and is home to several beautiful waterfalls. Nearby Corning and Elmira also landed further down on our list. The Finger Lakes region is New York’s largest wine-producing area, and the craft beer industry is also thriving there."
Haleyville, AL,3999.0,80.0, Tombigbee Electric Cooperative ,69300.0,5.1,13.0,13.0,71.0,3.2,3.9,3.8,"Located a little over an hour north of Birmingham and nestled in the foothills of the Smoky Mountains, Haleyville has a small-town feel. Just under 4% of its residents work from home, so remote workers are something of an anomaly, but the low cost of living is worth it. For those craving a lively music scene, the city is less than an hour from Muscle Shoals on the Tennessee River, which is known for its music community. The median home price is extraordinarily low at $69,300."
Randallstown, MD,35438.0,80.0, Verizon Fios ,262300.0,6.8,16.0,12.0,77.0,6.8,5.1,4.5,"An upscale, mostly African-American suburb of Baltimore, Randallstown offers low-key suburban living a short drive or subway ride from the city’s big-name attractions. Randallstown rated well for having spacious houses at relatively low prices near Baltimore and Washington, and the Verizon Fios internet is speedy and reliable. This might be a good pick for people working at home for government-related employers."
Terre Haute, IN,60691.0,67.0, Smithville Communications ,100100.0,5.1,28.0,12.0,66.0,9.5,3.4,3.7,"Home to Indiana State University, Terre Haute is a college town 77 miles from Indianapolis. As a midwestern manufacturing city, much of its local economy relies on the businesses located in the Vigo County Industrial Park. For nature lovers, Terre Haute is close to the Wabashiki Fish and Wildlife Area."
Taylorville, IL,11027.0,70.0, CTI Fiber ,90600.0,5.1,18.0,21.0,73.0,6.0,3.0,4.1,"Tree-lined streets in orderly neighborhoods welcome you to Taylorville, a suburb of Springfield, Illinois. You’ll have access to plenty of outdoor fun. The city is close to golf courses and several lakes, and biking enthusiasts can check out the 15-mile Lincoln Prairie Trail, which starts at the city of Pana and continues into Taylorville. There are several parks for you and your family to enjoy, and small businesses make up the downtown area."
Bartlesville, OK,36398.0,60.0, AT&T Fiber ,109800.0,5.8,15.0,13.0,74.0,7.1,2.3,2.8,"Located in Northeast Oklahoma, Bartlesville is 50 miles from Tulsa. The city has a lot of character: It’s the home of the famed Price Tower, the only skyscraper designed by Frank Lloyd Wright. If you have a gambler’s spirit, check out the Ramona-Cherokee Casino, in nearby Ramona. About 36,000 people call Bartlesville home, along with major businesses including ConocoPhillips and Phillips 66."
Shallotte, NC,3825.0,86.0, ATMC ,204300.0,4.9,25.0,20.0,84.0,8.3,5.8,4.2,"Beaches abound near Shallotte, North Carolina: The town is just 10 minutes from Holden Beach, Ocean Isle Beach, and Sunset Beach. It’s something of a business hub for Brunswick County as well; over 610 companies call it home. The beautiful Shallotte River passes through the town, and residents tend to gather at Mulberry Park for summer concerts and movies. If you love to travel, the town is just 45 miles from the Myrtle Beach International Airport and 37 miles from the Wilmington International Airport. The median home price is a reasonable $204,300, and the lowest price for gigabit broadband is $86 a month from ATMC."
Kensington Park, FL,4351.0,80.0, Xfinity from Comcast ,174900.0,5.2,39.0,15.0,84.0,6.8,0.6,4.6,"Kensington Park, with a population of just over 4,300, is a somewhat rural area that’s close to the sunny beaches of Sarasota, Florida. Sarasota is home to lots of arts and cultural institutes as well, including the Ringling Museum of Art, the Marie Selby Botanical Gardens, and Ca’d’Zan, the opulent former home of John Ringling and his wife Mable."
Brooklyn Park, MN,79462.0,65.0, CenturyLink ,241600.0,6.4,,,,5.2,1.4,3.9,"Known as “Tree City USA,” Brooklyn Park is home to 47 miles of trails and 67 parks. It’s 15 minutes from the Minneapolis–St. Paul–Bloomington metro area, which has a lot to offer remote workers, with its many industrial and educational centers. Companies calling the area home include General Mills, 3M, US Bancorp, and United Healthcare. Area schools have a great reputation, and you’ll have an array of major- and minor-league sports teams to follow."
Arlington, WA,18884.0,80.0, AT&T Fiber ,439900.0,5.5,62.0,18.0,80.0,7.5,2.5,4.7,"Part of Seattle’s metro area, this city with a small-town atmosphere rests on the Stillaguamish River. Top-quality schools, a lively downtown area, and plenty of outdoor activities in the Cascades and at Puget Sound are available in Arlington. It costs a little more to live here than other places on our list, as the median home price is $439,900. The lowest cost for gigabit broadband internet is $80 a month from AT&T Fiber."
Beachwood, NJ,11193.0,80.0, Xfinity from Comcast ,248800.0,6.2,16.0,8.0,89.0,10.0,2.8,2.8,"In Ocean County, New Jersey, Beachwood is a small riverfront community that is home to a little over 11,000 people. New York City is an hour or so away, making Beachwood a great place for remote workers to get away from the stress of the big city—though not too far away—and settle somewhere that’s safer and more affordable."
